2025-04-07 13:41:04 | INFO     | Starting Tinder Profile Scraper
2025-04-07 13:41:04 | INFO     | Target URL: https://tinder.com/app/recs
2025-04-07 13:41:04 | INFO     | Output directory: ./scraped_profiles
2025-04-07 13:41:04 | INFO     | Profiles to scrape: 1
2025-04-07 13:41:04 | INFO     | Using Chrome profile from: /home/roman-slack/.config/google-chrome/Profile 7
2025-04-07 13:41:04 | INFO     | Navigating to https://tinder.com/app/recs
2025-04-07 13:41:07 | WARNING  | Login required - please use a Chrome profile that's already logged in to Tinder
2025-04-07 13:41:07 | ERROR    | Failed to navigate to Tinder. Exiting.
2025-04-07 13:41:07 | INFO     | Browser resources closed
2025-04-07 13:41:07 | INFO     | Scraper execution completed in 3.41 seconds
2025-04-07 13:41:07 | INFO     | Successfully scraped 0 profiles
2025-04-07 13:44:04 | INFO     | Starting Tinder Profile Scraper
2025-04-07 13:44:04 | INFO     | Target URL: https://tinder.com/app/recs
2025-04-07 13:44:04 | INFO     | Output directory: ./scraped_profiles
2025-04-07 13:44:04 | INFO     | Profiles to scrape: 1
2025-04-07 13:44:05 | INFO     | Using Chrome profile from: /home/roman-slack/.config/google-chrome/Profile 4
2025-04-07 13:44:05 | INFO     | Navigating to https://tinder.com/app/recs
2025-04-07 13:44:08 | WARNING  | Login required - please use a Chrome profile that's already logged in to Tinder
2025-04-07 13:44:08 | ERROR    | Failed to navigate to Tinder. Exiting.
2025-04-07 13:44:08 | INFO     | Browser resources closed
2025-04-07 13:44:08 | INFO     | Scraper execution completed in 3.97 seconds
2025-04-07 13:44:08 | INFO     | Successfully scraped 0 profiles
2025-04-07 13:44:21 | INFO     | Starting Tinder Profile Scraper
2025-04-07 13:44:21 | INFO     | Target URL: https://tinder.com/app/recs
2025-04-07 13:44:21 | INFO     | Output directory: ./scraped_profiles
2025-04-07 13:44:21 | INFO     | Profiles to scrape: 1
2025-04-07 13:44:21 | INFO     | Using Chrome profile from: /home/roman-slack/.config/google-chrome/Profile 4
2025-04-07 13:44:21 | INFO     | Navigating to https://tinder.com/app/recs
2025-04-07 13:44:22 | WARNING  | Login required - please use a Chrome profile that's already logged in to Tinder
2025-04-07 13:44:22 | ERROR    | Failed to navigate to Tinder. Exiting.
2025-04-07 13:44:22 | INFO     | Browser resources closed
2025-04-07 13:44:22 | INFO     | Scraper execution completed in 1.72 seconds
2025-04-07 13:44:22 | INFO     | Successfully scraped 0 profiles
2025-04-07 13:44:32 | INFO     | Starting Tinder Profile Scraper
2025-04-07 13:44:32 | INFO     | Target URL: https://tinder.com/app/recs
2025-04-07 13:44:32 | INFO     | Output directory: ./scraped_profiles
2025-04-07 13:44:32 | INFO     | Profiles to scrape: 1
2025-04-07 13:44:32 | INFO     | Using Chrome profile from: /home/roman-slack/.config/google-chrome/Profile 4
2025-04-07 13:44:32 | INFO     | Navigating to https://tinder.com/app/recs
2025-04-07 13:44:33 | WARNING  | Login required - please use a Chrome profile that's already logged in to Tinder
2025-04-07 13:44:33 | ERROR    | Failed to navigate to Tinder. Exiting.
2025-04-07 13:44:33 | INFO     | Browser resources closed
2025-04-07 13:44:33 | INFO     | Scraper execution completed in 1.63 seconds
2025-04-07 13:44:33 | INFO     | Successfully scraped 0 profiles
